"United Finance Company OFFERS DATA - GENERATED [06/26/2019] from UFC_adv.html",,,,,,,
,,,,,,,
"DAT","SRC","TYP","NUM","NAM","DSC","AMT","BRK_ADR_TEL"
9/3/21,"SS-A","SELL",2,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
9/3/21,"SS-B","SELL",1.5,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
9/3/21,"SS-C","SELL",4,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
9/5/21,"SS-A","SELL",2,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
9/5/21,"SS-B","SELL",1.5,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
9/5/21,"SS-C","SELL",4,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
10/14/21,"LJ","NEWS","&empty;","United Finance","&ne;","&sub;","LJ_19211014_#029"
10/24/21,"SS-A","SELL",2,"United Finance","&ne;","&sub;","CJS_118-Cherry-St._Main-5899"
10/24/21,"SS-B","SELL",1.5,"United Finance","&ne;","&sub;","CJS_118-Cherry-St._Main-5899"
10/24/21,"SS-C","SELL",4,"United Finance","&ne;","&sub;","CJS_118-Cherry-St._Main-5899"
11/8/21,"SS","SELL",4,"United Finance","Pfd.","Bid","PSC_601-Securities-Bld._Elliott-3113"
11/9/21,"SS","SELL",4,"United Finance","Pfd.","Bid","PSC_601-Securities-Bld._Elliott-3113"
11/10/21,"SS","SELL",4,"United Finance","Pfd.","Bid","PSC_601-Securities-Bld._Elliott-3113"
11/11/21,"SS","SELL",4,"United Finance","Pfd.","Bid","PSC_601-Securities-Bld._Elliott-3113"
12/3/21,"SS","SELL",4-Feb,"United Finance Co.","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
12/8/21,"SS","SELL",1,"United Finance Unit","&ne;",160,"PSC_601-Securities-Bldg._Elliott-3113"
12/8/21,"SS","SELL","&empty;","United & Inland Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
12/16/21,"SS-A","SELL",2,"United Finance","&ne;",160,"CJS_118-Cherry-St._Main-5899"
12/16/21,"SS-B","SELL",1.5,"United Finance","&ne;",160,"CJS_118-Cherry-St._Main-5899"
12/16/21,"SS-C","SELL",4,"United Finance","&ne;",160,"CJS_118-Cherry-St._Main-5899"
