"DAT","AMT","SRC","TYP","NUM","NAM","DSC",,"BRK_ADR_TEL"
9/3/21,374,"SS-A","SELL",2,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
9/3/21,374,"SS-B","SELL",1.5,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
9/3/21,374,"SS-C","SELL",4,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
9/5/21,374,"SS-A","SELL",2,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
9/5/21,374,"SS-B","SELL",1.5,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
9/5/21,374,"SS-C","SELL",4,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
10/14/21,374,"LJ","NEWS","&empty;","United Finance","&ne;",,"LJ_19211014_#029"
10/24/21,374,"SS-A","SELL",2,"United Finance","&ne;",,"CJS_118-Cherry-St._Main-5899"
10/24/21,374,"SS-B","SELL",1.5,"United Finance","&ne;",,"CJS_118-Cherry-St._Main-5899"
10/24/21,374,"SS-C","SELL",4,"United Finance","&ne;",,"CJS_118-Cherry-St._Main-5899"
11/8/21,374,"SS","SELL",4,"United Finance","Pfd.",,"PSC_601-Securities-Bld._Elliott-3113"
11/9/21,374,"SS","SELL",4,"United Finance","Pfd.",,"PSC_601-Securities-Bld._Elliott-3113"
11/10/21,374,"SS","SELL",4,"United Finance","Pfd.",,"PSC_601-Securities-Bld._Elliott-3113"
11/11/21,374,"SS","SELL",4,"United Finance","Pfd.",,"PSC_601-Securities-Bld._Elliott-3113"
12/3/21,374,"SS","SELL",4-Feb,"United Finance Co.","&ne;",,"MW_214-Union-St._Elliott-0850"
12/8/21,160,"SS","SELL",1,"United Finance Unit","&ne;",,"PSC_601-Securities-Bldg._Elliott-3113"
12/8/21,159,"SS","SELL","&empty;","United & Inland Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
12/16/21,160,"SS-A","SELL",2,"United Finance","&ne;",,"CJS_118-Cherry-St._Main-5899"
12/16/21,160,"SS-B","SELL",1.5,"United Finance","&ne;",,"CJS_118-Cherry-St._Main-5899"
12/16/21,160,"SS-C","SELL",4,"United Finance","&ne;",,"CJS_118-Cherry-St._Main-5899"
12/16/21,159,"SS-D","SELL","&empty;","United & Inland Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
12/19/21,160,"SS-A","SELL",2,"United Finance","&ne;",,"CJS_118-Cherry-St._Main-5899"
12/19/21,160,"SS-B","SELL",1.5,"United Finance","&ne;",,"CJS_118-Cherry-St._Main-5899"
12/19/21,160,"SS-C","SELL",4,"United Finance","&ne;",,"CJS_118-Cherry-St._Main-5899"
1/11/22,125,"SS-A","SELL",2,"United Finance","&ne;",,"CJS_118-Cherry-St._Main-5899"
1/11/22,125,"SS-B","SELL",3,"United Finance","&ne;",,"CJS_118-Cherry-St._Main-5899"
1/11/22,125,"SS-C","SELL",4,"United Finance","&ne;",,"CJS_118-Cherry-St._Main-5899"
1/11/22,124,"SS-D","SELL",2,"United Finance","pfd.",,"PSC_600-601-Securities-Bldg._Elliott-3113"
3/15/22,124,"SS","NEWS","&empty;","United Finance","&ne;",,"SS_19220315_#040"
3/18/22,124,"TCE","NEWS","&empty;","United Finance","&ne;",,"TCE_19220318_#041"
3/18/22,124,"SS","NEWS","&empty;","United Finance","&ne;",,"SS_19220318_#042"
3/20/22,124,"SS","NEWS","&empty;","United Finance","&ne;",,"SS_19220320_#043"
3/27/22,124,"SS","NEWS","&empty;","United Finance","&ne;",,"SS_19220327_#044"
4/1/22,124,"SS","NEWS","&empty;","United Finance","&ne;",,"TCE_19220401_#045"
6/23/22,124,"SS-A","SELL",4,"United Finance","PREFERRED",,"JEL_Arlington_R.-4"
6/23/22,124,"SS-B","SELL",3,"United Finance","1st common",,"JEL_Arlington_R.-4"
6/23/22,124,"SS-C","SELL",8,"United Finance","2nd common",,"JEL_Arlington_R.-4"
6/24/22,124,"SS-A","SELL",4,"United Finance","PREFERRED",,"JEL_Arlington_R.-4"
6/24/22,124,"SS-B","SELL",3,"United Finance","1st common",,"JEL_Arlington_R.-4"
6/24/22,124,"SS-C","SELL",8,"United Finance","2nd common",,"JEL_Arlington_R.-4"
7/1/22,75,"SS","SELL",2,"United Finance","&ne;",,"JWC_709-2nd-Ave._Main-1513"
7/14/22,60,"SS","SELL",2,"United Finance","&ne;",,"JWC_709-2nd-Ave._Main-1513"
7/18/22,55,"SS","SELL",2,"United Finance","&ne;",,"JWC_709-2nd-Ave._Main-1513"
7/21/22,50,"SS-A","SELL",2,"United Finance","&ne;",,"HMHC_117-Cherry-St_Elliott-4256"
7/21/22,55,"SS-B","SELL",2,"United Finance","&ne;",,"JWC_709-2nd-Ave.-Main-1512"
7/26/22,55,"SS-A","SELL",2,"United Finance","&ne;",,"JWC_709-2nd-Ave._Main-1513"
7/26/22,55,"SS-B","SELL",2,"United Finance","&ne;",,"CJS_118-Cherry-St_MAIN_5899"
8/1/22,54,"SS","SELL",7,"United Finance Co.","&ne;",,"MW_214-Union-St._Elliott-0850"
8/2/22,54,"SS-A","SELL",7,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
8/2/22,40,"SS-B","SELL",2,"United Finance","&ne;",,"HMHC_117-Cherry-St_Elliott-4256"
8/2/22,40,"SS-C","SELL",2,"United Finance","&ne;",,"HMHC_117-Cherry-St_Elliott-4256"
8/2/22,40,"SS-D","SELL",4,"United Finance","&ne;",,"HMHC_117-Cherry-St_Elliott-4256"
8/2/22,40,"SS-E","SELL",2,"United Finance","&ne;",,"CJS_118-Cherry-St_MAIN_5899"
8/4/22,40,"SS-A","SELL",2,"United Finance","&ne;",,"HMHC_117-Cherry-St_Elliott-4256"
8/4/22,39,"SS-B","SELL",7,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
8/5/22,39,"SS","SELL",7,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
8/9/22,39,"SS-A","SELL",4,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
8/9/22,40,"SS-B","SELL",2,"United Finance",2/2/04,,"HMHC_117-Cherry-St_Elliott-4256"
8/9/22,55,"SS-C","SELL",1,"United Finance","&ne;",,"JWC_709-2nd-Ave._Main-1513"
8/10/22,54,"SS","SELL",4,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
8/11/22,40,"SS-A","SELL",2,"United Finance",2/2/04,,"HMHC_117-Cherry-St_Elliott-4256"
8/11/22,39,"SS-B","SELL",4,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
8/12/22,39,"SS","SELL",4,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
8/19/22,39,"SS","SELL",4,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
9/1/22,39,"SS","BUY",2,"United Finance","&ne;",,"JWC_709-2nd-Ave._Main-1513"
9/7/22,39,"SS","SELL",4,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
9/8/22,39,"SS-A","BUY",2,"United Finance","&ne;",,"JWC_709-2nd-Ave._Main-1513"
9/8/22,39,"SS-B","SELL",4,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
9/9/22,39,"SS","SELL",4,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
9/13/22,39,"SS","SELL",4,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
9/15/22,39,"SS","SELL",4,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
9/28/22,39,"SS","SELL",17,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
9/30/22,39,"SS","SELL",17,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
10/7/22,39,"SS","SELL",17,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
10/10/22,39,"SS","SELL",17,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
10/14/22,39,"SS","SELL",17,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
10/17/22,39,"SS-A","SELL",15,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
10/17/22,39,"SS-B","SELL",2,"United Finance","&ne;",,"CJS_118-Cherry-St_MAIN_5899"
10/17/22,39,"SS-C","SELL",1.5,"United Finance","&ne;",,"CJS_118-Cherry-St_MAIN_5899"
10/17/22,39,"SS-C","SELL",4,"United Finance","&ne;",,"CJS_118-Cherry-St_MAIN_5899"
10/19/22,39,"SS","SELL",15,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
11/1/22,35,"SS","SELL",7,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
11/2/22,35,"SS","SELL",7,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
11/3/22,35,"SS","SELL",7,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
11/17/22,34,"SS","SELL",1,"United Finance","&ne;",,"MW_214-Union-St._Elliott-0850"
12/19/22,25,"SS","SELL",1,"United Finance","&ne;",,"PSC_600-601-Securities-Bldg._Elliott-3118-3926"
12/22/22,25,"SS","SELL",1,"United Finance","&ne;",,"PSC_600-601-Securities-Bldg._Elliott-3118-3926"
